# vi: ts=30 sw=30
i2807	Motor 28 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i2907	Motor 29 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i3007	Motor 30 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i3107	Motor 31 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i3207	Motor 32 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i108	Motor 1 Position Scale Factor	Motor Definition I-Variables
i208	Motor 2 Position Scale Factor	Motor Definition I-Variables
i308	Motor 3 Position Scale Factor	Motor Definition I-Variables
i408	Motor 4 Position Scale Factor	Motor Definition I-Variables
i508	Motor 5 Position Scale Factor	Motor Definition I-Variables
i608	Motor 6 Position Scale Factor	Motor Definition I-Variables
i708	Motor 7 Position Scale Factor	Motor Definition I-Variables
i808	Motor 8 Position Scale Factor	Motor Definition I-Variables
i908	Motor 9 Position Scale Factor	Motor Definition I-Variables
i1008	Motor 10 Position Scale Factor	Motor Definition I-Variables
i1108	Motor 11 Position Scale Factor	Motor Definition I-Variables
i1208	Motor 12 Position Scale Factor	Motor Definition I-Variables
i1308	Motor 13 Position Scale Factor	Motor Definition I-Variables
i1408	Motor 14 Position Scale Factor	Motor Definition I-Variables
i1508	Motor 15 Position Scale Factor	Motor Definition I-Variables
i1608	Motor 16 Position Scale Factor	Motor Definition I-Variables
i1708	Motor 17 Position Scale Factor	Motor Definition I-Variables
i1808	Motor 18 Position Scale Factor	Motor Definition I-Variables
i1908	Motor 19 Position Scale Factor	Motor Definition I-Variables
i2008	Motor 20 Position Scale Factor	Motor Definition I-Variables
i2108	Motor 21 Position Scale Factor	Motor Definition I-Variables
i2208	Motor 22 Position Scale Factor	Motor Definition I-Variables
i2308	Motor 23 Position Scale Factor	Motor Definition I-Variables
i2408	Motor 24 Position Scale Factor	Motor Definition I-Variables
i2508	Motor 25 Position Scale Factor	Motor Definition I-Variables
i2608	Motor 26 Position Scale Factor	Motor Definition I-Variables
i2708	Motor 27 Position Scale Factor	Motor Definition I-Variables
i2808	Motor 28 Position Scale Factor	Motor Definition I-Variables
i2908	Motor 29 Position Scale Factor	Motor Definition I-Variables
i3008	Motor 30 Position Scale Factor	Motor Definition I-Variables
i3108	Motor 31 Position Scale Factor	Motor Definition I-Variables
i3208	Motor 32 Position Scale Factor	Motor Definition I-Variables
i109	Motor 1 Velocity-Loop Scale Factor	Motor Definition I-Variables
i209	Motor 2 Velocity-Loop Scale Factor	Motor Definition I-Variables
i309	Motor 3 Velocity-Loop Scale Factor	Motor Definition I-Variables
i409	Motor 4 Velocity-Loop Scale Factor	Motor Definition I-Variables
i509	Motor 5 Velocity-Loop Scale Factor	Motor Definition I-Variables
i609	Motor 6 Velocity-Loop Scale Factor	Motor Definition I-Variables
i709	Motor 7 Velocity-Loop Scale Factor	Motor Definition I-Variables
i809	Motor 8 Velocity-Loop Scale Factor	Motor Definition I-Variables
