# vi: ts=30 sw=30
i3202	Motor 32 Command Output Address	Motor Definition I-Variables	82
i103	Motor 1 Position Loop Feedback Address	Motor Definition I-Variables	85
i203	Motor 2 Position Loop Feedback Address	Motor Definition I-Variables	85
i303	Motor 3 Position Loop Feedback Address	Motor Definition I-Variables	85
i403	Motor 4 Position Loop Feedback Address	Motor Definition I-Variables	85
i503	Motor 5 Position Loop Feedback Address	Motor Definition I-Variables	85
i603	Motor 6 Position Loop Feedback Address	Motor Definition I-Variables	85
i703	Motor 7 Position Loop Feedback Address	Motor Definition I-Variables	85
i803	Motor 8 Position Loop Feedback Address	Motor Definition I-Variables	85
i903	Motor 9 Position Loop Feedback Address	Motor Definition I-Variables	85
i1003	Motor 10 Position Loop Feedback Address	Motor Definition I-Variables	85
i1103	Motor 11 Position Loop Feedback Address	Motor Definition I-Variables	85
i1203	Motor 12 Position Loop Feedback Address	Motor Definition I-Variables	85
i1303	Motor 13 Position Loop Feedback Address	Motor Definition I-Variables	85
i1403	Motor 14 Position Loop Feedback Address	Motor Definition I-Variables	85
i1503	Motor 15 Position Loop Feedback Address	Motor Definition I-Variables	85
i1603	Motor 16 Position Loop Feedback Address	Motor Definition I-Variables	85
i1703	Motor 17 Position Loop Feedback Address	Motor Definition I-Variables	85
i1803	Motor 18 Position Loop Feedback Address	Motor Definition I-Variables	85
i1903	Motor 19 Position Loop Feedback Address	Motor Definition I-Variables	85
i2003	Motor 20 Position Loop Feedback Address	Motor Definition I-Variables	85
i2103	Motor 21 Position Loop Feedback Address	Motor Definition I-Variables	85
i2203	Motor 22 Position Loop Feedback Address	Motor Definition I-Variables	85
i2303	Motor 23 Position Loop Feedback Address	Motor Definition I-Variables	85
i2403	Motor 24 Position Loop Feedback Address	Motor Definition I-Variables	85
i2503	Motor 25 Position Loop Feedback Address	Motor Definition I-Variables	85
i2603	Motor 26 Position Loop Feedback Address	Motor Definition I-Variables	85
i2703	Motor 27 Position Loop Feedback Address	Motor Definition I-Variables	85
i2803	Motor 28 Position Loop Feedback Address	Motor Definition I-Variables	85
i2903	Motor 29 Position Loop Feedback Address	Motor Definition I-Variables	85
i3003	Motor 30 Position Loop Feedback Address	Motor Definition I-Variables	85
i3103	Motor 31 Position Loop Feedback Address	Motor Definition I-Variables	85
i3203	Motor 32 Position Loop Feedback Address	Motor Definition I-Variables	85
i104	Motor 1 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i204	Motor 2 Velocity Loop Feedback Address	Motor Definition I-Variables	86
i304	Motor 3 Velocity Loop Feedback Address	Motor Definition I-Variables	86
